symbol,sectorKey,industryKey,sector,industry,updated_utc
AAL,industrials,airlines,Industrials,Airlines,2026-03-13T14:00:42Z
ABR,real-estate,reit-mortgage,Real Estate,REIT - Mortgage,2026-03-13T14:25:29Z
ABT,healthcare,medical-devices,Healthcare,Medical Devices,2026-03-13T14:25:30Z
ACAD,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:15:43Z
ACHR,industrials,aerospace-defense,Industrials,Aerospace & Defense,2026-03-13T17:15:44Z
ACLX,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:20:03Z
ADBE,technology,software-application,Technology,Software - Application,2026-03-13T14:25:31Z
ADM,consumer-defensive,farm-products,Consumer Defensive,Farm Products,2026-03-13T14:00:42Z
AEE,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T13:55:11Z
AHCO,healthcare,medical-devices,Healthcare,Medical Devices,2026-03-13T14:20:05Z
AHR,real-estate,reit-healthcare-facilities,Real Estate,REIT - Healthcare Facilities,2026-03-13T14:00:44Z
AI,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T17:15:47Z
ALC,healthcare,medical-instruments-supplies,Healthcare,Medical Instruments & Supplies,2026-03-13T14:00:45Z
ALGN,healthcare,medical-instruments-supplies,Healthcare,Medical Instruments & Supplies,2026-03-13T14:25:34Z
ALK,industrials,airlines,Industrials,Airlines,2026-03-13T14:00:45Z
AMD,technology,semiconductors,Technology,Semiconductors,2026-03-13T17:15:48Z
AMH,real-estate,reit-residential,Real Estate,REIT - Residential,2026-03-13T14:25:35Z
AMPL,technology,software-application,Technology,Software - Application,2026-03-13T17:15:49Z
AMPX,industrials,electrical-equipment-parts,Industrials,Electrical Equipment & Parts,2026-03-13T14:00:46Z
AMRZ,basic-materials,building-materials,Basic Materials,Building Materials,2026-03-13T14:00:46Z
ANET,technology,computer-hardware,Technology,Computer Hardware,2026-03-13T17:15:50Z
APA,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:00:47Z
APG,industrials,engineering-construction,Industrials,Engineering & Construction,2026-03-13T17:15:51Z
APLE,real-estate,reit-hotel-motel,Real Estate,REIT - Hotel & Motel,2026-03-13T14:25:37Z
AR,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:00:48Z
ARI,real-estate,reit-mortgage,Real Estate,REIT - Mortgage,2026-03-13T17:15:53Z
ARIS,basic-materials,gold,Basic Materials,Gold,2026-03-13T17:15:53Z
ARKK,,,,,2026-03-13T17:15:53Z
ARMK,industrials,specialty-business-services,Industrials,Specialty Business Services,2026-03-13T14:00:48Z
ARR,real-estate,reit-mortgage,Real Estate,REIT - Mortgage,2026-03-13T14:00:49Z
ARWR,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:15:55Z
ASO,consumer-cyclical,specialty-retail,Consumer Cyclical,Specialty Retail,2026-03-13T14:25:39Z
ASTS,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T14:00:49Z
ATO,utilities,utilities-regulated-gas,Utilities,Utilities - Regulated Gas,2026-03-13T14:00:50Z
AVAH,healthcare,medical-care-facilities,Healthcare,Medical Care Facilities,2026-03-13T14:25:40Z
AVPT,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T17:15:57Z
BEPC,utilities,utilities-renewable,Utilities,Utilities - Renewable,2026-03-13T14:00:50Z
BETA,industrials,aerospace-defense,Industrials,Aerospace & Defense,2026-03-13T17:15:58Z
BHC,healthcare,drug-manufacturers-specialty-generic,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-13T14:25:41Z
BHVN,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:15:58Z
BILL,technology,software-application,Technology,Software - Application,2026-03-13T17:15:59Z
BKR,energy,oil-gas-equipment-services,Energy,Oil & Gas Equipment & Services,2026-03-13T17:15:59Z
BNL,real-estate,reit-diversified,Real Estate,REIT - Diversified,2026-03-13T13:55:11Z
BNS,financial-services,banks-diversified,Financial Services,Banks - Diversified,2026-03-13T17:16:00Z
BP,energy,oil-gas-integrated,Energy,Oil & Gas Integrated,2026-03-13T14:00:51Z
BRBR,consumer-defensive,packaged-foods,Consumer Defensive,Packaged Foods,2026-03-13T14:00:52Z
BRKR,healthcare,medical-devices,Healthcare,Medical Devices,2026-03-13T14:25:43Z
BROS,consumer-cyclical,restaurants,Consumer Cyclical,Restaurants,2026-03-13T17:16:02Z
BXSL,financial-services,asset-management,Financial Services,Asset Management,2026-03-13T14:25:43Z
CAH,healthcare,medical-distribution,Healthcare,Medical Distribution,2026-03-13T14:00:52Z
CARG,consumer-cyclical,auto-truck-dealerships,Consumer Cyclical,Auto & Truck Dealerships,2026-03-13T17:16:03Z
CARR,industrials,building-products-equipment,Industrials,Building Products & Equipment,2026-03-13T14:25:44Z
CB,financial-services,insurance-property-casualty,Financial Services,Insurance - Property & Casualty,2026-03-13T13:55:12Z
CCJ,energy,uranium,Energy,Uranium,2026-03-13T14:25:45Z
CCOI,communication-services,telecom-services,Communication Services,Telecom Services,2026-03-13T17:16:04Z
CDNS,technology,software-application,Technology,Software - Application,2026-03-13T17:16:05Z
CFLT,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T14:00:53Z
CGON,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:20:13Z
CHRW,industrials,integrated-freight-logistics,Industrials,Integrated Freight & Logistics,2026-03-13T17:16:06Z
CIEN,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T13:55:13Z
CLDX,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:20:13Z
CLF,basic-materials,steel,Basic Materials,Steel,2026-03-13T14:25:47Z
CMBT,energy,oil-gas-midstream,Energy,Oil & Gas Midstream,2026-03-13T14:00:54Z
CMC,basic-materials,steel,Basic Materials,Steel,2026-03-13T14:25:48Z
CME,financial-services,financial-data-stock-exchanges,Financial Services,Financial Data & Stock Exchanges,2026-03-13T14:00:54Z
CMG,consumer-cyclical,restaurants,Consumer Cyclical,Restaurants,2026-03-13T14:25:49Z
CMS,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T13:55:13Z
CNH,industrials,farm-heavy-construction-machinery,Industrials,Farm & Heavy Construction Machinery,2026-03-13T14:25:50Z
CNP,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T13:55:14Z
CNQ,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:00:55Z
